фракция	тип	кол-во	название	тир	дистанция/защита/хп	описание
Наследие	Оружие	1	Тактический карабин	1	Дист: 1	3 урона
Наследие	Оружие	2	Импульсная винтовка	1	Дист: 3	2 урона
Наследие	Оружие	2	Ракетная батарея	2	Дист: 3	Наносит 3 урона всем врагам на выбранной линии
Наследие	Оружие	1	Корозийные ракеты	2	Дист: 4	4 урона. Повреждения на целевом юните в этот раунд не снижаются защитой.
Наследие	Оружие	2	Рельсотрон	3	Дист: 3	3 урона одному из юнитов на каждой линиии противника.
Наследие	Броня	1	Стандартная броня	1	Защита: 1	Урон, полученный на дистанции 1, снижен на 1
Наследие	Броня	1	Тяжёлая броня	2	Защита: 2	—
Наследие	Броня	1	Штурмовая броня «Титан»	3	Защита: 2	Оружие этого меха наносит +1 урон
Наследие	Модуль	1	Синхронизатор огня	2	—	Все ваши юниты на этой линии получают +1 к урону атак
Наследие	Модуль	2	Блок целеуказания	1	—	Если этот мех наносит урон, атаки любого вашего меха по этой же цели наносят +1 урон
Наследие	Строение	1	Командный центр	—	ХП: 3	Все ваши атаки наносят на 1 урон больше
Наследие	Строение	1	Энергощит	—	ХП: 7	Заградитель (враг не может атаковать цели позади этой линии)
Ткачи	Оружие	1	Клинок твёрдого света	1	Дист: 1	2 урона. Повреждения на целевом юните в этот раунд не снижаются защитой.
Ткачи	Оружие	2	Гравитационный хлыст	1	Дист: 2	1 урон. Вы можете притянуть цель на 1 клетку ближе к себе или оттолкнуть на 1 клетку.
Ткачи	Оружие	2	Резонансный излучатель	2	Дист: 6	1 урона. Наносит +1 урон за каждую линию между этим мехом и целью.
Ткачи	Оружие	1	Фазовый двигатель	2	Дист: 4	Нанесите Х урона каждому меху на линии, где Х -- кол-во юнитов на этой линии.
Ткачи	Оружие	2	Генератор сингулярности	3	Дист: 5	5 урона.
Ткачи	Броня	1	Голографическая мантия	1	Защита: 1	Иллюзия: Первая атака по этому меху попадает в союзный юнит.
Ткачи	Броня	1	Мерцающий щит	2	Защита: 1	Фазовый сдвиг: Если мех уничтожается, вместо этого уходит в сброс этот щит, а все повреждения снимаются.
Ткачи	Броня	1	Пространственная сфера	3	Защита: 2	Урон от атак с дистанции 3 и выше снижается на 1.
Ткачи	Модуль	2	Узел вероятностей	1	—	В начале хода вы можете выложить 1 дополнительную карту из колоды на Базар.
